Year,Subject,Winner
1901,chemistry,Jacobus Henricus van ‘t Hoff
1901,literature,Sully Prudhomme
1901,medicine,Emil Adolf von Behring
1901,peace,Frédéric Passy
1901,peace,Jean Henry Dunant
1901,physics,Wilhelm Conrad Röntgen
1902,chemistry,Hermann Emil Fischer
1902,literature,Christian Matthias Theodor Mommsen
1902,medicine,Ronald Ross
1902,peace,Charles Albert Gobat
1902,peace,Élie Ducommun
1902,physics,Hendrik Antoon Lorentz
1902,physics,Pieter Zeeman
1903,chemistry,Svante August Arrhenius
1903,literature,Bjørnstjerne Martinus Bjørnson
1903,medicine,Niels Ryberg Finsen
1903,peace,William Randal Cremer
1903,physics,Antoine Henri Becquerel
1903,physics,"Marie Curie, née Sklodowska"
1903,physics,Pierre Curie
1904,chemistry,Sir William Ramsay
1904,literature,Frédéric Mistral
1904,literature,José Echegaray y Eizaguirre
1904,medicine,Ivan Petrovich Pavlov
1904,peace,Institut de droit international (Institute of International Law)
1904,physics,Lord Rayleigh (John William Strutt)
1905,chemistry,Johann Friedrich Wilhelm Adolf von Baeyer
1905,literature,Henryk Sienkiewicz
1905,medicine,Robert Koch
1905,peace,Bertha von Suttner
1905,physics,Philipp Eduard Anton von Lenard
1906,chemistry,Henri Moissan
1906,literature,Giosuè Carducci
1906,medicine,Camillo Golgi
1906,medicine,Santiago Ramón y Cajal
1906,peace,Theodore Roosevelt
1906,physics,Joseph John Thomson
1907,chemistry,Eduard Buchner
1907,literature,Rudyard Kipling
1907,medicine,Charles Louis Alphonse Laveran
1907,peace,Ernesto Teodoro Moneta
1907,peace,Louis Renault
1907,physics,Albert Abraham Michelson
1908,chemistry,Ernest Rutherford
1908,literature,Rudolf Christoph Eucken
1908,medicine,Ilya Ilyich Mechnikov
1908,medicine,Paul Ehrlich
1908,peace,Fredrik Bajer
1908,peace,Klas Pontus Arnoldson
1908,physics,Gabriel Lippmann
1909,chemistry,Wilhelm Ostwald
1909,literature,Selma Ottilia Lovisa Lagerlöf
1909,medicine,Emil Theodor Kocher
1909,peace,Auguste Marie François Beernaert
1909,peace,"Paul Henri Benjamin Balluet d’Estournelles de Constant, Baron de Constant de Rebecque"
1909,physics,Guglielmo Marconi
1909,physics,Karl Ferdinand Braun
1910,chemistry,Otto Wallach
1910,literature,Paul Johann Ludwig Heyse
1910,medicine,Albrecht Kossel
1910,peace,Bureau international permanent de la Paix (Permanent International Peace Bureau)
1910,physics,Johannes Diderik van der Waals
1911,chemistry,"Marie Curie, née Sklodowska"
1911,literature,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck
1911,medicine,Allvar Gullstrand
1911,peace,Alfred Hermann Fried
1911,peace,Tobias Michael Carel Asser
1911,physics,Wilhelm Wien
1912,chemistry,Paul Sabatier
1912,chemistry,Victor Grignard
1912,literature,Gerhart Johann Robert Hauptmann
1912,medicine,Alexis Carrel
1912,peace,Elihu Root
1912,physics,Nils Gustaf Dalén
1913,chemistry,Alfred Werner
1913,literature,Rabindranath Tagore
1913,medicine,Charles Robert Richet
1913,peace,Henri La Fontaine
1913,physics,Heike Kamerlingh Onnes
1914,chemistry,Theodore William Richards
1914,medicine,Robert Bárány
1914,physics,Max von Laue
1915,chemistry,Richard Martin Willstätter
1915,literature,Romain Rolland
1915,physics,Sir William Henry Bragg
1915,physics,William Lawrence Bragg
1916,literature,Carl Gustaf Verner von Heidenstam
1917,literature,Henrik Pontoppidan
1917,literature,Karl Adolph Gjellerup
1917,peace,Comité international de la Croix Rouge (International Committee of the Red Cross)
1917,physics,Charles Glover Barkla
1918,chemistry,Fritz Haber
1918,physics,Max Karl Ernst Ludwig Planck
1919,literature,Carl Friedrich Georg Spitteler
1919,medicine,Jules Bordet
1919,peace,Thomas Woodrow Wilson
1919,physics,Johannes Stark
1920,chemistry,Walther Hermann Nernst
1920,literature,Knut Pedersen Hamsun
1920,medicine,Schack August Steenberg Krogh
1920,peace,Léon Victor Auguste Bourgeois
1920,physics,Charles Edouard Guillaume
1921,chemistry,Frederick Soddy
1921,literature,Anatole France
1921,peace,Christian Lous Lange
1921,peace,Karl Hjalmar Branting
1921,physics,Albert Einstein
1922,chemistry,Francis William Aston
1922,literature,Jacinto Benavente
1922,medicine,Archibald Vivian Hill
1922,medicine,Otto Fritz Meyerhof
1922,peace,Fridtjof Nansen
1922,physics,Niels Henrik David Bohr
1923,chemistry,Fritz Pregl
1923,literature,William Butler Yeats
1923,medicine,Frederick Grant Banting
1923,medicine,John James Rickard Macleod
1923,physics,Robert Andrews Millikan
1924,literature,Wladyslaw Stanislaw Reymont
1924,medicine,Willem Einthoven
1924,physics,Karl Manne Georg Siegbahn
1925,chemistry,Richard Adolf Zsigmondy
1925,literature,George Bernard Shaw
1925,peace,Charles Gates Dawes
1925,peace,Sir Austen Chamberlain
1925,physics,Gustav Ludwig Hertz
1925,physics,James Franck
1926,chemistry,The (Theodor) Svedberg
1926,literature,Grazia Deledda
1926,medicine,Johannes Andreas Grib Fibiger
1926,peace,Aristide Briand
1926,peace,Gustav Stresemann
1926,physics,Jean Baptiste Perrin
1927,chemistry,Heinrich Otto Wieland
1927,literature,Henri Bergson
1927,medicine,Julius Wagner-Jauregg
1927,peace,Ferdinand Buisson
1927,peace,Ludwig Quidde
1927,physics,Arthur Holly Compton
1927,physics,Charles Thomson Rees Wilson
1928,chemistry,Adolf Otto Reinhold Windaus
1928,literature,Sigrid Undset
1928,medicine,Charles Jules Henri Nicolle
1928,physics,Owen Willans Richardson
1929,chemistry,Arthur Harden
1929,chemistry,Hans Karl August Simon von Euler-Chelpin
1929,literature,Thomas Mann
1929,medicine,Christiaan Eijkman
1929,medicine,Sir Frederick Gowland Hopkins
1929,peace,Frank Billings Kellogg
1929,physics,Prince Louis-Victor Pierre Raymond de Broglie
1930,chemistry,Hans Fischer
1930,literature,Sinclair Lewis
1930,medicine,Karl Landsteiner
1930,peace,Lars Olof Jonathan (Nathan) Söderblom
1930,physics,Sir Chandrasekhara Venkata Raman
1931,chemistry,Carl Bosch
1931,chemistry,Friedrich Bergius
1931,literature,Erik Axel Karlfeldt
1931,medicine,Otto Heinrich Warburg
1931,peace,Jane Addams
1931,peace,Nicholas Murray Butler
1932,chemistry,Irving Langmuir
1932,literature,John Galsworthy
1932,medicine,Edgar Douglas Adrian
1932,medicine,Sir Charles Scott Sherrington
1932,physics,Werner Karl Heisenberg
1933,literature,Ivan Alekseyevich Bunin
1933,medicine,Thomas Hunt Morgan
1933,peace,Sir Norman Angell (Ralph Lane)
1933,physics,Erwin Schrödinger
1933,physics,Paul Adrien Maurice Dirac
1934,chemistry,Harold Clayton Urey
1934,literature,Luigi Pirandello
1934,medicine,George Hoyt Whipple
1934,medicine,George Richards Minot
1934,medicine,William Parry Murphy
1934,peace,Arthur Henderson
1935,chemistry,Frédéric Joliot
1935,chemistry,Irène Joliot-Curie
1935,medicine,Hans Spemann
